dataset,datafile,filter_function,processing time
small,"dodecahedral_graph().json",fv,0.013400793075561523
small,"dodecahedral_graph().json",fv_norm,0.013495206832885742
small,"dodecahedral_graph().json",den_0_5,0.0015659332275390625
small,"dodecahedral_graph().json",ev_1,0.0021390914916992188
small,"dodecahedral_graph().json",ev_2,0.0021390914916992188
small,"dodecahedral_graph().json",ev_3,0.0021390914916992188
small,"dodecahedral_graph().json",ev_4,0.0021390914916992188
small,"dodecahedral_graph().json",ev_5,0.0021390914916992188
small,"dodecahedral_graph().json",ev_norm_1,0.010185956954956055
small,"dodecahedral_graph().json",ev_norm_2,0.010185956954956055
small,"dodecahedral_graph().json",ev_norm_3,0.010185956954956055
small,"dodecahedral_graph().json",ev_norm_4,0.010185956954956055
small,"dodecahedral_graph().json",ev_norm_5,0.010185956954956055
small,"dorogovtsev_goltsev_mendes_graph(4).json",agd,0.007221221923828125
small,"dorogovtsev_goltsev_mendes_graph(4).json",ecc,0.009116888046264648
small,"dorogovtsev_goltsev_mendes_graph(4).json",pr_0_85,0.008816003799438477
small,"dorogovtsev_goltsev_mendes_graph(4).json",fv,0.026815176010131836
small,"dorogovtsev_goltsev_mendes_graph(4).json",fv_norm,0.01604604721069336
small,"dorogovtsev_goltsev_mendes_graph(4).json",den_0_5,0.00822305679321289
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_1,0.004024982452392578
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_2,0.004024982452392578
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_3,0.004024982452392578
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_4,0.004024982452392578
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_5,0.004024982452392578
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_norm_1,0.00468897819519043
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_norm_2,0.00468897819519043
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_norm_3,0.00468897819519043
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_norm_4,0.00468897819519043
small,"dorogovtsev_goltsev_mendes_graph(4).json",ev_norm_5,0.00468897819519043
small,"train_bombing.json",agd,0.03869485855102539
small,"train_bombing.json",ecc,0.03415107727050781
small,"train_bombing.json",pr_0_85,0.0641171932220459
small,"train_bombing.json",fv,0.05998706817626953
small,"train_bombing.json",fv_norm,0.02815532684326172
small,"train_bombing.json",den_0_5,0.038803815841674805
small,"train_bombing.json",ev_1,0.0764608383178711
small,"train_bombing.json",ev_2,0.0764608383178711
small,"train_bombing.json",ev_3,0.0764608383178711
small,"train_bombing.json",ev_4,0.0764608383178711
small,"train_bombing.json",ev_5,0.0764608383178711
small,"train_bombing.json",ev_norm_1,0.07838082313537598
small,"train_bombing.json",ev_norm_2,0.07838082313537598
small,"train_bombing.json",ev_norm_3,0.07838082313537598
small,"train_bombing.json",ev_norm_4,0.07838082313537598
small,"train_bombing.json",ev_norm_5,0.07838082313537598
small,"w_2chordal_cycle_graph[90].json",agd,0.04225277900695801
small,"w_2chordal_cycle_graph[90].json",ecc,0.04081606864929199
small,"w_2chordal_cycle_graph[90].json",pr_0_85,0.035321950912475586
small,"w_2chordal_cycle_graph[90].json",fv,0.4350450038909912
small,"w_2chordal_cycle_graph[90].json",fv_norm,0.1123049259185791
small,"w_2chordal_cycle_graph[90].json",den_0_5,0.04943084716796875
small,"w_2chordal_cycle_graph[90].json",ev_1,0.008090019226074219
small,"w_2chordal_cycle_graph[90].json",ev_2,0.008090019226074219
small,"w_2chordal_cycle_graph[90].json",ev_3,0.008090019226074219
small,"w_2chordal_cycle_graph[90].json",ev_4,0.008090019226074219
small,"w_2chordal_cycle_graph[90].json",ev_5,0.008090019226074219
small,"w_2chordal_cycle_graph[90].json",ev_norm_1,0.014380931854248047
small,"w_2chordal_cycle_graph[90].json",ev_norm_2,0.014380931854248047
small,"w_2chordal_cycle_graph[90].json",ev_norm_3,0.014380931854248047
small,"w_2chordal_cycle_graph[90].json",ev_norm_4,0.014380931854248047
small,"w_2chordal_cycle_graph[90].json",ev_norm_5,0.014380931854248047
small,"circular_ladder_graph(5).json",agd,0.00038313865661621094
small,"circular_ladder_graph(5).json",ecc,0.0005428791046142578
small,"circular_ladder_graph(5).json",pr_0_85,0.0007081031799316406
small,"circular_ladder_graph(5).json",fv,0.025915861129760742
small,"circular_ladder_graph(5).json",fv_norm,0.030771970748901367
small,"circular_ladder_graph(5).json",den_0_5,0.00045800209045410156
small,"circular_ladder_graph(5).json",ev_1,0.0018277168273925781
small,"circular_ladder_graph(5).json",ev_2,0.0018277168273925781
small,"circular_ladder_graph(5).json",ev_3,0.0018277168273925781
small,"circular_ladder_graph(5).json",ev_4,0.0018277168273925781
small,"circular_ladder_graph(5).json",ev_5,0.0018277168273925781
small,"circular_ladder_graph(5).json",ev_norm_1,0.0031740665435791016
small,"circular_ladder_graph(5).json",ev_norm_2,0.0031740665435791016
small,"circular_ladder_graph(5).json",ev_norm_3,0.0031740665435791016
small,"circular_ladder_graph(5).json",ev_norm_4,0.0031740665435791016
small,"circular_ladder_graph(5).json",ev_norm_5,0.0031740665435791016
small,"barbell_graph(3,8).json",agd,0.0007460117340087891
small,"barbell_graph(3,8).json",ecc,0.0012378692626953125
small,"barbell_graph(3,8).json",pr_0_85,0.0038099288940429688
