datafile,df_nodes,filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
"bn-mouse-visual-cortex-2.json",193,ecc,20,async_label_prop,connectivity,false,335,728,0.0289
"bn-mouse-visual-cortex-2.json",193,pr_0_85,2,connected_components,connectivity,false,162,176,0.0075
"bn-mouse-visual-cortex-2.json",193,pr_0_85,2,modularity,connectivity,false,164,180,0.0172
"bn-mouse-visual-cortex-2.json",193,pr_0_85,2,async_label_prop,connectivity,false,164,180,0.0099
"bn-mouse-visual-cortex-2.json",193,pr_0_85,20,connected_components,connectivity,false,192,213,0.0091
"bn-mouse-visual-cortex-2.json",193,pr_0_85,20,modularity,connectivity,false,192,213,0.0094
"bn-mouse-visual-cortex-2.json",193,pr_0_85,20,async_label_prop,connectivity,false,192,213,0.0092
"bn-mouse-visual-cortex-2.json",193,fv,2,connected_components,connectivity,false,2,1,0.0027
"bn-mouse-visual-cortex-2.json",193,fv,2,modularity,connectivity,false,9,17,0.0585
"bn-mouse-visual-cortex-2.json",193,fv,2,async_label_prop,connectivity,false,10,18,0.0151
"bn-mouse-visual-cortex-2.json",193,fv,20,connected_components,connectivity,false,12,19,0.0042
"bn-mouse-visual-cortex-2.json",193,fv,20,modularity,connectivity,false,17,28,0.0481
"bn-mouse-visual-cortex-2.json",193,fv,20,async_label_prop,connectivity,false,17,27,0.0124
"bn-mouse-visual-cortex-2.json",193,fv_norm,2,connected_components,connectivity,false,23,22,0.0035
"bn-mouse-visual-cortex-2.json",193,fv_norm,2,modularity,connectivity,false,30,38,0.055
"bn-mouse-visual-cortex-2.json",193,fv_norm,2,async_label_prop,connectivity,false,32,40,0.0117
"bn-mouse-visual-cortex-2.json",193,fv_norm,20,connected_components,connectivity,false,173,192,0.0087
"bn-mouse-visual-cortex-2.json",193,fv_norm,20,modularity,connectivity,false,173,192,0.0132
"bn-mouse-visual-cortex-2.json",193,fv_norm,20,async_label_prop,connectivity,false,173,192,0.0097
"bn-mouse-visual-cortex-2.json",193,den_0_5,2,connected_components,connectivity,false,162,176,0.0075
"bn-mouse-visual-cortex-2.json",193,den_0_5,2,modularity,connectivity,false,164,180,0.0173
"bn-mouse-visual-cortex-2.json",193,den_0_5,2,async_label_prop,connectivity,false,164,180,0.01
"bn-mouse-visual-cortex-2.json",193,den_0_5,20,connected_components,connectivity,false,193,214,0.0093
"bn-mouse-visual-cortex-2.json",193,den_0_5,20,modularity,connectivity,false,193,214,0.0093
"bn-mouse-visual-cortex-2.json",193,den_0_5,20,async_label_prop,connectivity,false,193,214,0.0092
"bcsstk20.json",467,agd,2,connected_components,connectivity,false,4,3,0.0097
"bcsstk20.json",467,agd,2,modularity,connectivity,false,18,19,0.0915
"bcsstk20.json",467,agd,2,async_label_prop,connectivity,false,467,1295,0.0399
"bcsstk20.json",467,agd,20,connected_components,connectivity,false,70,70,0.0129
"bcsstk20.json",467,agd,20,modularity,connectivity,false,96,119,0.0712
"bcsstk20.json",467,agd,20,async_label_prop,connectivity,false,467,1295,0.0402
"bcsstk20.json",467,ecc,2,connected_components,connectivity,false,6,5,0.0091
"bcsstk20.json",467,ecc,2,modularity,connectivity,false,20,21,0.0822
"bcsstk20.json",467,ecc,2,async_label_prop,connectivity,false,467,1295,0.04
"bcsstk20.json",467,ecc,20,connected_components,connectivity,false,120,124,0.0144
"bcsstk20.json",467,ecc,20,modularity,connectivity,false,123,129,0.0606
"bcsstk20.json",467,ecc,20,async_label_prop,connectivity,false,467,1295,0.0384
"bcsstk20.json",467,pr_0_85,2,connected_components,connectivity,false,40,46,0.0186
"bcsstk20.json",467,pr_0_85,2,modularity,connectivity,false,44,50,0.0756
"bcsstk20.json",467,pr_0_85,2,async_label_prop,connectivity,false,467,1295,0.0393
"bcsstk20.json",467,pr_0_85,20,connected_components,connectivity,false,113,153,0.0143
"bcsstk20.json",467,pr_0_85,20,modularity,connectivity,false,117,163,0.0656
"bcsstk20.json",467,pr_0_85,20,async_label_prop,connectivity,false,470,1322,0.0412
"bcsstk20.json",467,fv,2,connected_components,connectivity,false,2,1,0.0089
"bcsstk20.json",467,fv,2,modularity,connectivity,false,18,19,0.0907
"bcsstk20.json",467,fv,2,async_label_prop,connectivity,false,467,1295,0.0397
"bcsstk20.json",467,fv,20,connected_components,connectivity,false,20,19,0.0111
"bcsstk20.json",467,fv,20,modularity,connectivity,false,48,52,0.092
"bcsstk20.json",467,fv,20,async_label_prop,connectivity,false,468,1298,0.0414
"bcsstk20.json",467,fv_norm,2,connected_components,connectivity,false,2,1,0.0088
"bcsstk20.json",467,fv_norm,2,modularity,connectivity,false,19,22,0.0922
"bcsstk20.json",467,fv_norm,2,async_label_prop,connectivity,false,467,1295,0.0397
"bcsstk20.json",467,fv_norm,20,connected_components,connectivity,false,43,45,0.012
"bcsstk20.json",467,fv_norm,20,modularity,connectivity,false,97,157,0.0739
"bcsstk20.json",467,fv_norm,20,async_label_prop,connectivity,false,467,1295,0.0403
"bcsstk20.json",467,den_0_5,2,connected_components,connectivity,false,2,1,0.0086
"bcsstk20.json",467,den_0_5,2,modularity,connectivity,false,14,16,0.0903
"bcsstk20.json",467,den_0_5,2,async_label_prop,connectivity,false,467,1295,0.0453
"bcsstk20.json",467,den_0_5,20,connected_components,connectivity,false,3,2,0.0106
"bcsstk20.json",467,den_0_5,20,modularity,connectivity,false,17,23,0.0916
"bcsstk20.json",467,den_0_5,20,async_label_prop,connectivity,false,467,1295,0.0384
"bio-diseasome.json",516,agd,2,connected_components,connectivity,false,40,39,0.0098
"bio-diseasome.json",516,agd,2,modularity,connectivity,false,59,70,0.1072
"bio-diseasome.json",516,agd,2,async_label_prop,connectivity,false,115,153,0.0734
"bio-diseasome.json",516,agd,20,connected_components,connectivity,false,274,339,0.0205
"bio-diseasome.json",516,agd,20,modularity,connectivity,false,278,353,0.054
"bio-diseasome.json",516,agd,20,async_label_prop,connectivity,false,280,359,0.0417
"bio-diseasome.json",516,ecc,2,connected_components,connectivity,false,58,57,0.0104
"bio-diseasome.json",516,ecc,2,modularity,connectivity,false,70,76,0.0929
"bio-diseasome.json",516,ecc,2,async_label_prop,connectivity,false,114,152,0.0717
"bio-diseasome.json",516,ecc,20,connected_components,connectivity,false,229,238,0.017
"bio-diseasome.json",516,ecc,20,modularity,connectivity,false,238,262,0.0573
"bio-diseasome.json",516,ecc,20,async_label_prop,connectivity,false,244,274,0.049
"bio-diseasome.json",516,pr_0_85,2,connected_components,connectivity,false,37,37,0.0098
