record #,subjectId,age,gender,vision,vis,secondsOnPage,userSelection,img1,img2,img3,img4,baseline
1593,8,,,,,3.83,Option 2,user_bcsstk_agd_10_connected_components.png,user_bcsstk_fv_10_connected_components.png,user_bn-mouse-visual-cortex-2_den_0_5_10_connected_components.png,"user_watts_strogatz_graph(100,5,0.05)_den_0_5_10_connected_components.png",user_bcsstk.png
1594,8,,,,,4.477,Option 3,user_enron-email_agd_10_async_label_prop.png,"user_connected_caveman_graph(15,30)_pr_0_85_10_async_label_prop.png",user_usair97_fv_10_async_label_prop.png,"user_connected_caveman_graph(15,30)_fv_10_async_label_prop.png","user_connected_caveman_graph(15,30).png"
1595,8,,,,,2.539,Option 2,"user_connected_caveman_graph(15,30)_agd_6_async_label_prop.png",user_bio-celegans_ecc_6_async_label_prop.png,user_circular_ladder_graph(100)_ecc_6_async_label_prop.png,user_bio-celegans_pr_0_85_6_async_label_prop.png,user_bio-celegans.png
1596,8,,,,,3.541,Option 4,user_caltech_fv_30_modularity.png,user_bio-diseasome_pr_0_85_30_modularity.png,user_enron-email_pr_0_85_30_modularity.png,user_bio-diseasome_fv_30_modularity.png,user_bio-diseasome.png
1597,8,,,,,4.262,Option 4,"user_connected_caveman_graph(15,30)_agd_10_connected_components.png","user_connected_caveman_graph(15,30)_den_0_5_10_connected_components.png",user_bio-diseasome_ecc_10_connected_components.png,user_map_of_science_ecc_10_connected_components.png,"user_connected_caveman_graph(15,30).png"
1598,8,,,,,6.073,Option 3,user_dorogovtsev_goltsev_mendes_graph(5)_pr_0_85_6_connected_components.png,user_bn-mouse-visual-cortex-2_den_0_5_6_connected_components.png,user_bn-mouse-visual-cortex-2_ecc_6_connected_components.png,"user_barbell_graph(50,20)_ecc_6_connected_components.png",user_bn-mouse-visual-cortex-2.png
1599,8,,,,,4.01,Option 4,user_bcsstk22_ecc_30_connected_components.png,"user_watts_strogatz_graph(100,5,0.05)_agd_30_connected_components.png","user_barbell_graph(50,20)_agd_30_connected_components.png",user_bcsstk22_fv_30_connected_components.png,user_bcsstk22.png
1600,8,,,,,2.817,Option 2,user_hic_5k_net_6_ecc_10_modularity.png,user_hic_5k_net_6_pr_0_85_10_modularity.png,user_caltech_agd_10_modularity.png,user_bcsstk_pr_0_85_10_modularity.png,user_hic_5k_net_6.png
1601,8,,,,,3.513,Option 1,user_bn-mouse-visual-cortex-2_den_0_5_10_async_label_prop.png,user_bn-mouse-visual-cortex-2_pr_0_85_10_async_label_prop.png,user_bio-diseasome_ecc_10_async_label_prop.png,user_bcsstk_ecc_10_async_label_prop.png,user_bn-mouse-visual-cortex-2.png
63,9,25,F,Y,2,,,,,,,
93,9,,,,,2.925,Option 4,user_usair97_den_0_5_30_modularity.png,"user_barbell_graph(50,20)_agd_30_modularity.png",user_caltech_ecc_30_modularity.png,user_caltech_pr_0_85_30_modularity.png,user_caltech.png
97,9,,,,,2.265,Option 1,"user_barbell_graph(50,20)_pr_0_85_10_modularity.png",user_bn-mouse-visual-cortex-2_pr_0_85_10_modularity.png,user_bio-diseasome_pr_0_85_10_modularity.png,"user_barbell_graph(50,20)_fv_10_modularity.png","user_barbell_graph(50,20).png"
102,9,,,,,2.459,Option 1,user_bn-mouse-visual-cortex-2_ecc_6_async_label_prop.png,user_bn-mouse-visual-cortex-2_fv_6_async_label_prop.png,user_caltech_fv_6_async_label_prop.png,user_bio-celegans_fv_6_async_label_prop.png,user_bn-mouse-visual-cortex-2.png
112,9,,,,,4.973,Unsure,user_bcsstk20_fv_30_modularity.png,user_bn-mouse-visual-cortex-2_pr_0_85_30_modularity.png,user_bcsstk20_agd_30_modularity.png,"user_watts_strogatz_graph(100,5,0.05)_agd_30_modularity.png",user_bcsstk20.png
119,9,,,,,4.313,Option 3,user_bcsstk20_pr_0_85_20_modularity.png,user_map_of_science_den_0_5_20_modularity.png,user_map_of_science_fv_20_modularity.png,user_enron-email_den_0_5_20_modularity.png,user_map_of_science.png
128,9,,,,,4.476,Option 3,"user_barbell_graph(50,20)_den_0_5_6_connected_components.png",user_bio-diseasome_den_0_5_6_connected_components.png,user_bio-diseasome_agd_6_connected_components.png,user_dorogovtsev_goltsev_mendes_graph(5)_ecc_6_connected_components.png,user_bio-diseasome.png
137,9,,,,,3.708,Option 3,user_hic_5k_net_6_fv_20_async_label_prop.png,user_bn-mouse-visual-cortex-2_agd_20_async_label_prop.png,user_bn-mouse-visual-cortex-2_pr_0_85_20_async_label_prop.png,user_bcsstk20_fv_20_async_label_prop.png,user_bn-mouse-visual-cortex-2.png
145,9,,,,,5.558,Option 4,user_bcsstk22_pr_0_85_6_async_label_prop.png,"user_ring_of_cliques(6,70)_den_0_5_6_async_label_prop.png",user_bcsstk20_fv_6_async_label_prop.png,"user_ring_of_cliques(6,70)_pr_0_85_6_async_label_prop.png","user_ring_of_cliques(6,70).png"
149,9,,,,,3.225,Option 4,"user_ring_of_cliques(6,70)_fv_10_async_label_prop.png",user_usair97_pr_0_85_10_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_fv_10_async_label_prop.png,"user_ring_of_cliques(6,70)_pr_0_85_10_async_label_prop.png","user_ring_of_cliques(6,70).png"
155,9,,,,,2.836,Unsure,user_dorogovtsev_goltsev_mendes_graph(5)_den_0_5_10_connected_components.png,user_circular_ladder_graph(100)_den_0_5_10_connected_components.png,user_circular_ladder_graph(100)_ecc_10_connected_components.png,"user_barbell_graph(50,20)_ecc_10_connected_components.png",user_circular_ladder_graph(100).png
157,9,,,,,2.055,Option 2,user_caltech_fv_30_async_label_prop.png,user_caltech_agd_30_async_label_prop.png,user_bcsstk20_den_0_5_30_async_label_prop.png,user_bio-celegans_fv_30_async_label_prop.png,user_caltech.png
